project,north_star,synthetic_control_group,post_grant_actual,percent_change,p_value
WannaBet Weekly Tournaments,active_users,0.5,0.061224489795918366,-0.8776,0.5413516239681027
Enable High-Frequency Execution Across the Superchain,active_users,0.48148148148148145,0.061224489795918366,-0.8728,0.0002348706850916482
Swan Superchain Application,transaction_cnt,30921.113402061856,8489.868852459016,-0.7254,3.893646050023847e-08
Cyber,transaction_cnt,41566.652892561986,13089.13076923077,-0.6851,0.0
Mode,transaction_cnt,16678.164835164836,7381.49375,-0.5574,0.0
Lisk - Intent 3B Grant Application,transaction_cnt,129.7840909090909,60862.91823899371,467.9552,0.0
DelegateMatch: Governance incentives for a delegation Farcaster frame.,active_users,0.05,0.00546448087431694,-0.8907,0.38673298448046634
Scout Game: onchain gamified talent referral platform,gas_fee,9.433038461538462e-11,1.9649857009345795e-10,1.0831,0.6399378171128958
Mint Blockchain- grow the Superchain NFT economy,transaction_cnt,37122.85593220339,72014.4268292683,0.9399,0.0
Toros Finance,gas_fee,,,,
Strands,gas_fee,0.0,0.0,,
Pyth Network: Infrastructure Subsidies,active_users,0.0,0.01020408163265306,,0.15782945612053711
Pyth Network: Decentralized Solvers (Pyth Express Relay),transaction_cnt,,,,
Kroma Intent 3B Grants Application,active_users,101061.07692307692,151649.79375,0.5006,0.03515121083677353
