project,protocol,north_star,synthetic_control_group,post_grant_actual,percent_change,p_value
Renzo Optimism Season 6 Mission Request - Optimism as base for LRTs,renzo_protocol,TVL,1719566178.1198378,1464053945.523667,-0.1486,7.110166593271572e-07
Ether.fi OP Mainnet LRT Grant,ether__dot__fi_vaults_protocol,TVL,443661299.4460301,944873255.2652897,1.1297,0.0
Expanding restaking on Optimism,kelp_rseth_protocol,TVL,784372108.0633701,1082717650.7287192,0.3804,1.016361439454272e-09
Boosting LRT adoption with Compound Finance,compound_v2_protocol,TVL,719808753.0189054,644262714.6721402,-0.105,1.2955858608165727e-11
TLX - Leveraged Tokens Protocol,tlx_finance_protocol,TVL,4206847.672051944,2362494.451073825,-0.4384,1.5277112908052004e-11
OETH on OP (2 of 3),origin_protocol,TVL,143932445.40484622,176369595.40144378,0.2254,1.944530669817368e-08
Extra Finance S6 Mission Application,extra_finance_leverage_farming_protocol,TVL,118133186.42479606,151024541.01758674,0.2784,0.0
Let's Get HAI,lets_get_hai_protocol,TVL,3325701.1155102574,3378572.3274769797,0.0159,0.539044393103943
Derive (Formerly Lyra) Chain - Intent 3B,derive_v2_protocol,TVL,55825099.381145656,78288407.2966188,0.4024,0.0
Yield Bearing asset utility with Compound,compound_v2_protocol,TVL,710595492.2972115,644262714.6721402,-0.0933,5.52814016785419e-10
Beefy - mooBIFI,beefy,TVL,262301715.71534637,278068949.93874484,0.0601,3.33491789739071e-09
Fraxtal Application,frax_swap_protocol,TVL,41537041.7747686,33691257.52328926,-0.1889,0.0
OETH on OP 4,origin_protocol,TVL,142394148.63698635,176369595.40144378,0.2386,3.72906505674564e-09
Contango ,contango_v1_protocol,TVL,400899.9762997357,373509.37312463083,-0.0683,1.60606568249122e-05
Velodrome Finance,velodrome_v3_protocol,TVL,4567570.44140997,3560578.1886258386,-0.2205,0.030739338633185564
Uniswap: YBA Grant,uniswap_v1_protocol,TVL,8492624.637604719,7934365.8720210735,-0.0657,7.084974562587831e-08
Uniswap: LRT Grant,uniswap_v1_protocol,TVL,8467299.28972135,7934365.8720210735,-0.0629,1.8109965838064568e-07
Idle - Credit Vaults III,idle_protocol,TVL,20879703.018266875,12443989.300977783,-0.404,0.0
dForce on OP (Resubmission II),dforce,TVL,980517.3121787596,2887201.088813761,1.9446,1.6671330982376276e-11
Derive (Formerly Lyra) Chain - Intent 3B Take 2,derive_v2_protocol,TVL,56181481.19630144,78288407.2966188,0.3935,2.220446049250313e-16
